,CAS_Number,Chemical_Name,Species_Scientific_Name,Organism_Lifestage,Organism_Age_Mean,Organism_Age_Mean_Op,Exposure_Type,Media_Type,Test_Location,Number_of_Doses,Observed_Response_Mean,Observed_Response_Min,Observed_Response_Max,Observed_Response_Units,ld50_variance,ld50_se,ld50_sd,notes_ld50,Effect,Endpoint,Response_Site,aq_ter,paper code,sample_size,Title,Publication_Year,Observed_Duration_Days,Observed_Duration_Units_Days,Chemical_short,family,genus,Observed_Response_Units_std,Observed_Response_Mean_std,Observed_Response_Min_std,Observed_Response_Max_std
2,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis cerana,Young adult,2,<,"Topical, general",No substrate,Lab,13,0.008,0.004,0.018,ug/org,,1.23±0.32,,slope±SE,Mortality,LD50,Not reported,Terrestrial,1,130,Insecticide Susceptibility in Asian Honey Bees (Apis cerana (Hymenoptera: Apidae)) and Implications for Wild Honey Bees in Asia,2017,1,Day(s),Imidacloprid,Apidae,Apis,ng/org,8,4,18
4,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis cerana,Young adult,2,<,"Topical, general",No substrate,Lab,13,0.0036,0.0018,0.0077,ug/org,,2.09±0.47,,slope±SE,Mortality,LD50,Not reported,Terrestrial,1,130,Insecticide Susceptibility in Asian Honey Bees (Apis cerana (Hymenoptera: Apidae)) and Implications for Wild Honey Bees in Asia,2017,2,Day(s),Imidacloprid,Apidae,Apis,ng/org,3.6,1.8,7.7
75,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis cerana,Young adult,2,<,"Topical, general",No substrate,Lab,10,0.0024,0.0018,0.0031,ug/org,,3.47±0.66,,slope±SE,Mortality,LD50,Not reported,Terrestrial,1,100,Insecticide Susceptibility in Asian Honey Bees (Apis cerana (Hymenoptera: Apidae)) and Implications for Wild Honey Bees in Asia,2017,2,Day(s),Thiamethoxam,Apidae,Apis,ng/org,2.4,1.8,3.1
76,153719234,"3-[(2-Chloro-5-thiazolyl)methyl]tetrahydro-5-methyl-N-nitro-4H-1,3,5-oxadiazin-4-imine",Apis cerana,Young adult,2,<,"Topical, general",No substrate,Lab,10,0.003,0.002,0.005,ug/org,,3.33±0.84,,slope±SE,Mortality,LD50,Not reported,Terrestrial,1,100,Insecticide Susceptibility in Asian Honey Bees (Apis cerana (Hymenoptera: Apidae)) and Implications for Wild Honey Bees in Asia,2017,1,Day(s),Thiamethoxam,Apidae,Apis,ng/org,3,2,5
148,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis cerana,Young adult,2,<,"Topical, general",No substrate,Lab,10,0.0034,0.0029,0.005,ug/org,,8.00±1.97,,slope±SE,Mortality,LD50,Not reported,Terrestrial,1,100,Insecticide Susceptibility in Asian Honey Bees (Apis cerana (Hymenoptera: Apidae)) and Implications for Wild Honey Bees in Asia,2017,2,Day(s),Clothianidin,Apidae,Apis,ng/org,3.4,2.9,5
150,210880925,[C(E)]-N-[(2-Chloro-5-thiazolyl)methyl]-N'-methyl-N''-nitroguanidine,Apis cerana,Young adult,2,<,"Topical, general",No substrate,Lab,10,0.004,0.0032,0.005,ug/org,,5.30±1.24,,slope±SE,Mortality,LD50,Not reported,Terrestrial,1,100,Insecticide Susceptibility in Asian Honey Bees (Apis cerana (Hymenoptera: Apidae)) and Implications for Wild Honey Bees in Asia,2017,1,Day(s),Clothianidin,Apidae,Apis,ng/org,4,3.2,5
208,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis cerana,Young adult,2,<,"Topical, general",No substrate,Lab,16,0.22,0.081,0.53,ug/org,,0.91±0.18,,slope±SE,Mortality,LD50,Not reported,Terrestrial,1,160,Insecticide Susceptibility in Asian Honey Bees (Apis cerana (Hymenoptera: Apidae)) and Implications for Wild Honey Bees in Asia,2017,1,Day(s),Acetamiprid,Apidae,Apis,ng/org,220,81,530
209,135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Apis cerana,Young adult,2,<,"Topical, general",No substrate,Lab,16,0.278,0.06,1.041,ug/org,,0.942±0.247,,slope±SE,Mortality,LD50,Not reported,Terrestrial,1,160,Insecticide Susceptibility in Asian Honey Bees (Apis cerana (Hymenoptera: Apidae)) and Implications for Wild Honey Bees in Asia,2017,2,Day(s),Acetamiprid,Apidae,Apis,ng/org,278,60,1041
3,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis cerana,Not reported,NR,,Food,No substrate,Lab,6,2.7,2.4,3.1,ng/org,,,,,Mortality,LD50,Not reported,Terrestrial,2,120,Differential Physiological Effects of Neonicotinoid Insecticides on Honey Bees: A Comparison Between Apis mellifera and Apis cerana,2017,1,Day(s),Imidacloprid,Apidae,Apis,ng/org,2.7,2.4,3.1
11,138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,Apis mellifera,Not reported,NR,,Food,No substrate,Lab,6,8.6,7.8,9.3,ng/org,,,,,Mortality,LD50,Not reported,Terrestrial,2,120,Differential Physiological Effects of Neonicotinoid Insecticides on Honey Bees: A Comparison Between Apis mellifera and Apis cerana,2017,1,Day(s),Imidacloprid,Apidae,Apis,ng/org,8.6,7.8,9.3
